tweet_id,timestamp,text,rating_numerator,name,dog_stage,favorite_count,retweet_count,breed,breed_conf,dog,jpg_url
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,14.0,Cassie,doggo,31067,7134,Pembroke,0.511319,True,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
884162670584377345,2017-07-09 21:29:42+00:00,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo ,12.0,Yogi,doggo,19828,2887,German Shepherd,0.707046,True,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg
872967104147763200,2017-06-09 00:02:31+00:00,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo ,12.0,,doggo,26726,5288,Labrador Retriever,0.476913,True,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg
871515927908634625,2017-06-04 23:56:03+00:00,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo ,12.0,Napolean,doggo,19794,3395,Komondor,0.974781,True,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg
869596645499047938,2017-05-30 16:49:31+00:00,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for ,12.0,Scout,doggo,15733,3101,Chihuahua,0.955156,True,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg
858843525470990336,2017-05-01 00:40:27+00:00,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge ,13.0,,doggo,15558,3516,Golden Retriever,0.57812,True,https://pbs.twimg.com/media/C-s5oYZXkAAMHHq.jpg
855851453814013952,2017-04-22 18:31:02+00:00,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for ,13.0,,puppo,45834,18101,Flat-Coated Retriever,0.321676,True,https://pbs.twimg.com/media/C-CYWrvWAAU8AXH.jpg
854010172552949760,2017-04-17 16:34:26+00:00,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs ",11.0,,doggo,16408,3232,English Springer,0.354733,True,https://pbs.twimg.com/media/C9oNt91WAAAFSLS.jpg
846514051647705089,2017-03-28 00:07:32+00:00,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon ,13.0,Barney,doggo,45900,12141,Golden Retriever,0.650003,True,https://pbs.twimg.com/media/C79sB4xXwAEvwKY.jpg
845397057150107648,2017-03-24 22:08:59+00:00,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

 ",13.0,Mimosa,doggo,7869,1893,Dandie Dinmont,0.394404,True,https://pbs.twimg.com/media/C7t0IzLWkAINoft.jpg
836753516572119041,2017-03-01 01:42:39+00:00,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 ,12.0,Meera,doggo,20023,4891,Schipperke,0.0115635,True,https://pbs.twimg.com/media/C5y-4VwWcAIcaoj.jpg
834574053763584002,2017-02-23 01:22:14+00:00,Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. 13/10 ,13.0,,doggo,14249,2687,Golden Retriever,0.226564,True,https://pbs.twimg.com/media/C5UAqgyXAAAbMWH.jpg
832998151111966721,2017-02-18 17:00:10+00:00,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10 ",13.0,Rhino,doggo,13858,2360,Boxer,0.539036,True,https://pbs.twimg.com/media/C49nZavUYAEJjGw.jpg
832273440279240704,2017-02-16 17:00:25+00:00,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere ,14.0,Smiley,doggo,11799,2487,Pembroke,0.134081,True,https://pbs.twimg.com/ext_tw_video_thumb/832273373149413377/pu/img/qOqxM0b48fEarmq6.jpg
832032802820481025,2017-02-16 01:04:13+00:00,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

 ",12.0,Miguel,doggo,18610,4953,Whippet,0.601712,True,https://pbs.twimg.com/media/C4v5a4UWcAIRygc.jpg
831939777352105988,2017-02-15 18:54:34+00:00,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet ,12.0,Emanuel,doggo,25049,6540,Pomeranian,0.153862,True,https://pbs.twimg.com/media/C4uk0EWWQAAaZm1.jpg
831322785565769729,2017-02-14 02:02:51+00:00,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly ,12.0,Pete,doggo,9633,1638,Old English Sheepdog,0.999715,True,https://pbs.twimg.com/media/C4lzqQ4UEAApzU0.jpg
829449946868879360,2017-02-08 22:00:52+00:00,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10 ,11.0,,doggo,10939,2164,Labrador Retriever,0.315163,True,https://pbs.twimg.com/media/C4LMUf8WYAkWz4I.jpg
829374341691346946,2017-02-08 17:00:26+00:00,This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere ,13.0,Astrid,doggo,36179,9956,Staffordshire Bullterrier,0.757547,True,https://pbs.twimg.com/media/C4KHj-nWQAA3poV.jpg
828381636999917570,2017-02-05 23:15:47+00:00,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly ,14.0,Doobert,doggo,13221,2381,Bedlington Terrier,0.392535,True,https://pbs.twimg.com/media/C38Asz1WEAAvzj3.jpg
826958653328592898,2017-02-02 01:01:21+00:00,This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 ,12.0,Loki,doggo,22619,5373,Golden Retriever,0.6173890000000001,True,https://pbs.twimg.com/media/C3nygbBWQAAjwcW.jpg
826848821049180160,2017-02-01 17:44:55+00:00,This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. 13/10 heroic af ,13.0,Cupid,doggo,38215,10963,Great Pyrenees,0.858764,True,https://pbs.twimg.com/media/C3mOnZ_XUAAjr2V.jpg
826476773533745153,2017-01-31 17:06:32+00:00,This is Pilot. He has mastered the synchronized head tilt and sneaky tongue slip. Usually not unlocked until later doggo days. 12/10 ,12.0,Pilot,doggo,19326,4502,German Shepherd,0.7418600000000001,True,https://pbs.twimg.com/media/C3g8M0lWIAEcFgn.jpg
826204788643753985,2017-01-30 23:05:46+00:00,"Here's a little more info on Dew, your favorite roaming doggo that went h*ckin viral. 13/10 
 ",13.0,Dew,doggo,5112,999,Labrador Retriever,0.782058,True,https://pbs.twimg.com/media/C3dEza1WcAAhlNU.jpg
821765923262631936,2017-01-18 17:07:18+00:00,This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af ,13.0,Duchess,doggo,8862,1791,Golden Retriever,0.980071,True,https://pbs.twimg.com/media/C2d_vnHWEAE9phX.jpg
821407182352777218,2017-01-17 17:21:47+00:00,This is Sundance. He's a doggo drummer. Even sings a bit on the side. 14/10 entertained af (vid by @sweetsundance) ,14.0,Sundance,doggo,12403,4681,Irish Setter,0.5054960000000001,True,https://pbs.twimg.com/ext_tw_video_thumb/821407155391725568/pu/img/AJC07gFJDDBuwNTD.jpg
821107785811234820,2017-01-16 21:32:06+00:00,Here's a doggo who looks like he's about to give you a list of mythical ingredients to go collect for his potion. 11/10 would obey ,11.0,,doggo,10091,2297,Pomeranian,0.85659,True,https://pbs.twimg.com/media/C2UpLA-UcAEK_Fz.jpg
819004803107983360,2017-01-11 02:15:36+00:00,This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet ,14.0,Bo,doggo,91365,39700,Standard Poodle,0.351308,True,https://pbs.twimg.com/media/C12whDoVEAALRxa.jpg
817777686764523521,2017-01-07 16:59:28+00:00,"This is Dido. She's playing the lead role in ""Pupper Stops to Catch Snow Before Resuming Shadow Box with Dried Apple."" 13/10 (IG: didodoggo) ",13.0,Dido,pupper,11304,2892,Curly-Coated Retriever,0.733256,True,https://pbs.twimg.com/ext_tw_video_thumb/817777588030476288/pu/img/KbuLpE4krHF4VdPf.jpg
813910438903693312,2016-12-28 00:52:25+00:00,This is Chubbs. He dug a hole and now he's stuck in it. Dang h*ckin doggo. 11/10 would assist ,11.0,Chubbs,doggo,9831,2032,Siberian Husky,0.6993550000000001,True,https://pbs.twimg.com/media/C0uXObSXUAAIzmV.jpg
813202720496779264,2016-12-26 02:00:11+00:00,Here's a doggo who has concluded that Christmas is entirely too bright. Requests you tone it down a notch. 11/10 ,11.0,,doggo,9723,1952,Cocker Spaniel,0.701852,True,https://pbs.twimg.com/media/C0kTjqIXgAAqpRi.jpg
